date,hour,open,high,low,close,volume(BTC),ohlc4,SMA48,average_true_range,EMA9,EMA48,10x short,25x short,50x short,100x short,10x long,25x long,50x long,100x long
2022-02-13 19:00:00,19.0,42000.0,42207.0,41899.0,42056.0,22114024.3788,42040.5,42361.41,283.64,42312.22,42544.56,46753.84,43846.87,42956.57,42529.17,38641.3,40881.38,41686.92,42097.49
2022-02-13 20:00:00,20.0,42056.0,42472.0,41972.0,42466.0,10292894.1719,42241.5,42354.53,301.29,42298.08,42532.19,46738.21,43832.21,42942.21,42514.95,38628.38,40867.71,41672.99,42083.41
2022-02-13 21:00:00,21.0,42466.0,42522.0,42217.0,42223.0,7535061.6249,42357.0,42351.57,311.21,42309.86,42525.04,46751.23,43844.42,42954.18,42526.79,38639.15,40879.1,41684.6,42095.14
2022-02-13 22:00:00,22.0,42223.0,42439.0,42223.0,42382.0,5148704.4131,42316.75,42350.91,314.93,42311.24,42516.54,46752.75,43845.85,42955.57,42528.18,38640.4,40880.43,41685.95,42096.51
2022-02-13 23:00:00,23.0,42382.0,42412.0,42035.0,42077.0,13305442.1465,42226.5,42350.43,329.43,42294.29,42504.7,46734.03,43828.28,42938.37,42511.14,38624.93,40864.05,41669.25,42079.64
2022-02-14 00:00:00,0.0,42077.0,42195.0,41955.0,42132.0,8421438.0918,42089.75,42344.98,318.86,42253.38,42487.77,46688.82,43785.89,42896.84,42470.02,38587.57,40824.53,41628.95,42038.94
2022-02-14 01:00:00,1.0,42132.0,42162.0,41573.0,41688.0,19394481.4443,41888.75,42334.42,347.0,42180.46,42463.32,46608.24,43710.32,42822.8,42396.72,38520.97,40754.07,41557.1,41966.39
2022-02-14 02:00:00,2.0,41688.0,41851.0,41625.0,41721.0,6413438.9355,41721.25,42319.19,348.64,42088.62,42433.03,46506.76,43615.15,42729.56,42304.41,38437.09,40665.33,41466.62,41875.01
2022-02-14 03:00:00,3.0,41721.0,41996.0,41636.0,41934.0,9063011.8388,41821.75,42307.89,362.29,42035.24,42408.08,46447.78,43559.84,42675.37,42250.76,38388.35,40613.76,41414.03,41821.91
2022-02-14 04:00:00,4.0,41934.0,41998.0,41856.0,41980.0,4781865.8512,41942.0,42299.65,333.07,42016.59,42389.06,46427.18,43540.51,42656.44,42232.02,38371.32,40595.74,41395.66,41803.35
2022-02-14 05:00:00,5.0,41980.0,42026.0,41787.0,41795.0,4565864.9613,41897.0,42290.83,330.93,41992.68,42368.97,46400.75,43515.73,42632.16,42207.98,38349.48,40572.63,41372.09,41779.56
2022-02-14 06:00:00,6.0,41796.0,42303.0,41754.0,42210.0,12708378.79,42015.75,42288.64,343.36,41997.29,42354.55,46405.85,43520.51,42636.84,42212.62,38353.69,40577.09,41376.64,41784.15
2022-02-14 07:00:00,7.0,42210.0,42387.0,42134.0,42332.0,8874651.2447,42265.75,42292.09,345.21,42050.98,42350.93,46465.17,43576.15,42691.35,42266.58,38402.72,40628.97,41429.54,41837.57
2022-02-14 08:00:00,8.0,42333.0,42434.0,42027.0,42052.0,13164862.3547,42211.5,42291.57,336.5,42083.09,42345.24,46500.65,43609.42,42723.94,42298.85,38432.04,40659.99,41461.17,41869.51
2022-02-14 09:00:00,9.0,42052.0,42253.0,41982.0,42095.0,17719998.8035,42095.5,42286.06,333.86,42085.57,42335.04,46503.39,43611.99,42726.47,42301.35,38434.31,40662.39,41463.61,41871.98
2022-02-14 10:00:00,10.0,42095.0,42294.0,41936.0,42244.0,16319787.5485,42142.25,42282.49,323.71,42096.9,42327.18,46515.92,43623.74,42737.97,42312.74,38444.66,40673.34,41474.78,41883.26
2022-02-14 11:00:00,11.0,42244.0,42291.0,42092.0,42131.0,8683930.597,42189.5,42280.79,316.14,42115.42,42321.56,46536.38,43642.93,42756.78,42331.36,38461.57,40691.23,41493.03,41901.68
